"","station_id","stationname","daytype","rides","date"
"62586",40390,"Forest Park","W",2908,2019-02-01
"62587",40390,"Forest Park","A",1211,2019-02-02
"62588",40390,"Forest Park","U",878,2019-02-03
"62589",40390,"Forest Park","W",3233,2019-02-04
"62590",40390,"Forest Park","W",3343,2019-02-05
"62591",40390,"Forest Park","W",3353,2019-02-06
"62592",40390,"Forest Park","W",3320,2019-02-07
"62593",40390,"Forest Park","W",2826,2019-02-08
"62594",40390,"Forest Park","A",1150,2019-02-09
"62595",40390,"Forest Park","U",857,2019-02-10
"62596",40390,"Forest Park","W",3273,2019-02-11
"62597",40390,"Forest Park","W",3053,2019-02-12
"62598",40390,"Forest Park","W",3289,2019-02-13
"62599",40390,"Forest Park","W",3292,2019-02-14
"62600",40390,"Forest Park","W",2914,2019-02-15
"62601",40390,"Forest Park","A",1166,2019-02-16
"62602",40390,"Forest Park","U",876,2019-02-17
"62603",40390,"Forest Park","W",2147,2019-02-18
"62604",40390,"Forest Park","W",3219,2019-02-19
"62605",40390,"Forest Park","W",3306,2019-02-20
"62606",40390,"Forest Park","W",3453,2019-02-21
"62607",40390,"Forest Park","W",3138,2019-02-22
"62608",40390,"Forest Park","A",1252,2019-02-23
"62609",40390,"Forest Park","U",839,2019-02-24
"62610",40390,"Forest Park","W",3095,2019-02-25
"62611",40390,"Forest Park","W",3112,2019-02-26
"62612",40390,"Forest Park","W",3196,2019-02-27
"62613",40390,"Forest Park","W",3133,2019-02-28
"66698",40390,"Forest Park","W",3062,2019-03-01
"66699",40390,"Forest Park","A",1230,2019-03-02
"66700",40390,"Forest Park","U",964,2019-03-03
"66701",40390,"Forest Park","W",2770,2019-03-04
"66702",40390,"Forest Park","W",3071,2019-03-05
"66703",40390,"Forest Park","W",3171,2019-03-06
"66704",40390,"Forest Park","W",3165,2019-03-07
"66705",40390,"Forest Park","W",3009,2019-03-08
"66706",40390,"Forest Park","A",1168,2019-03-09
"66707",40390,"Forest Park","U",840,2019-03-10
"66708",40390,"Forest Park","W",3099,2019-03-11
"66709",40390,"Forest Park","W",3244,2019-03-12
"66710",40390,"Forest Park","W",3192,2019-03-13
"66711",40390,"Forest Park","W",3180,2019-03-14
"66712",40390,"Forest Park","W",3092,2019-03-15
"66713",40390,"Forest Park","A",1853,2019-03-16
"66714",40390,"Forest Park","U",1003,2019-03-17
"66715",40390,"Forest Park","W",3106,2019-03-18
"66716",40390,"Forest Park","W",3242,2019-03-19
"66717",40390,"Forest Park","W",3255,2019-03-20
"66718",40390,"Forest Park","W",3224,2019-03-21
"66719",40390,"Forest Park","W",3006,2019-03-22
"66720",40390,"Forest Park","A",1372,2019-03-23
"66721",40390,"Forest Park","U",1006,2019-03-24
"66722",40390,"Forest Park","W",2928,2019-03-25
"66723",40390,"Forest Park","W",2948,2019-03-26
"66724",40390,"Forest Park","W",3086,2019-03-27
"66725",40390,"Forest Park","W",3003,2019-03-28
"66726",40390,"Forest Park","W",2887,2019-03-29
"66727",40390,"Forest Park","A",1247,2019-03-30
"66728",40390,"Forest Park","U",973,2019-03-31
"71158",40390,"Forest Park","W",3146,2019-04-01
"71159",40390,"Forest Park","W",3158,2019-04-02
"71160",40390,"Forest Park","W",3381,2019-04-03
"71161",40390,"Forest Park","W",3212,2019-04-04
"71162",40390,"Forest Park","W",2990,2019-04-05
"71163",40390,"Forest Park","A",1468,2019-04-06
"71164",40390,"Forest Park","U",1007,2019-04-07
"71165",40390,"Forest Park","W",3385,2019-04-08
"71166",40390,"Forest Park","W",3372,2019-04-09
"71167",40390,"Forest Park","W",3186,2019-04-10
"71168",40390,"Forest Park","W",3341,2019-04-11
"71169",40390,"Forest Park","W",3195,2019-04-12
"71170",40390,"Forest Park","A",1444,2019-04-13
"71171",40390,"Forest Park","U",771,2019-04-14
"71172",40390,"Forest Park","W",3127,2019-04-15
"71173",40390,"Forest Park","W",3272,2019-04-16
"71174",40390,"Forest Park","W",3230,2019-04-17
"71175",40390,"Forest Park","W",3090,2019-04-18
